angle,sin,cos
11f1,11b5,3d80
11f2,11b6,3d80
11f3,11b6,3d7f
11f4,11b7,3d7f
11f5,11b8,3d7f
11f6,11b9,3d7f
11f7,11ba,3d7e
11f8,11bb,3d7e
11f9,11bc,3d7e
11fa,11bd,3d7d
11fb,11be,3d7d
11fc,11bf,3d7d
11fd,11c0,3d7d
11fe,11c1,3d7c
11ff,11c2,3d7c
1200,11c3,3d7c
1201,11c4,3d7b
1202,11c5,3d7b
1203,11c6,3d7b
1204,11c7,3d7b
1205,11c8,3d7a
1206,11c9,3d7a
1207,11ca,3d7a
1208,11cb,3d7a
1209,11cc,3d79
120a,11cd,3d79
120b,11ce,3d79
120c,11cf,3d78
120d,11cf,3d78
120e,11d0,3d78
120f,11d1,3d78
1210,11d2,3d77
1211,11d3,3d77
1212,11d4,3d77
1213,11d5,3d76
1214,11d6,3d76
1215,11d7,3d76
1216,11d8,3d76
1217,11d9,3d75
1218,11da,3d75
1219,11db,3d75
121a,11dc,3d75
121b,11dd,3d74
121c,11de,3d74
121d,11df,3d74
121e,11e0,3d73
121f,11e1,3d73
1220,11e2,3d73
1221,11e3,3d73
1222,11e4,3d72
1223,11e5,3d72
1224,11e6,3d72
1225,11e7,3d71
1226,11e7,3d71
1227,11e8,3d71
1228,11e9,3d71
1229,11ea,3d70
122a,11eb,3d70
122b,11ec,3d70
122c,11ed,3d6f
122d,11ee,3d6f
122e,11ef,3d6f
122f,11f0,3d6f
1230,11f1,3d6e
1231,11f2,3d6e
1232,11f3,3d6e
1233,11f4,3d6e
1234,11f5,3d6d
1235,11f6,3d6d
1236,11f7,3d6d
1237,11f8,3d6c
1238,11f9,3d6c
1239,11fa,3d6c
123a,11fb,3d6c
123b,11fc,3d6b
123c,11fd,3d6b
123d,11fe,3d6b
123e,11ff,3d6a
123f,11ff,3d6a
1240,1200,3d6a
1241,1201,3d6a
1242,1202,3d69
1243,1203,3d69
1244,1204,3d69
1245,1205,3d68
1246,1206,3d68
1247,1207,3d68
1248,1208,3d68
1249,1209,3d67
124a,120a,3d67
124b,120b,3d67
124c,120c,3d66
124d,120d,3d66
124e,120e,3d66
124f,120f,3d66
1250,1210,3d65
1251,1211,3d65
1252,1212,3d65
1253,1213,3d65
1254,1214,3d64
1255,1215,3d64
1256,1216,3d64
1257,1217,3d63
1258,1217,3d63
1259,1218,3d63
125a,1219,3d63
125b,121a,3d62
125c,121b,3d62
125d,121c,3d62
125e,121d,3d61
125f,121e,3d61
1260,121f,3d61
1261,1220,3d61
1262,1221,3d60
1263,1222,3d60
1264,1223,3d60
1265,1224,3d5f
1266,1225,3d5f
1267,1226,3d5f
1268,1227,3d5f
1269,1228,3d5e
126a,1229,3d5e
126b,122a,3d5e
126c,122b,3d5d
126d,122c,3d5d
126e,122d,3d5d
126f,122e,3d5d
1270,122e,3d5c
1271,122f,3d5c
1272,1230,3d5c
1273,1231,3d5b
1274,1232,3d5b
1275,1233,3d5b
1276,1234,3d5b
1277,1235,3d5a
1278,1236,3d5a
1279,1237,3d5a
127a,1238,3d59
127b,1239,3d59
127c,123a,3d59
127d,123b,3d59
127e,123c,3d58
127f,123d,3d58
1280,123e,3d58
1281,123f,3d57
1282,1240,3d57
1283,1241,3d57
1284,1242,3d57
1285,1243,3d56
1286,1244,3d56
1287,1245,3d56
1288,1245,3d55
1289,1246,3d55
128a,1247,3d55
128b,1248,3d55
128c,1249,3d54
128d,124a,3d54
128e,124b,3d54
128f,124c,3d53
1290,124d,3d53
1291,124e,3d53
1292,124f,3d53
1293,1250,3d52
1294,1251,3d52
1295,1252,3d52
1296,1253,3d51
1297,1254,3d51
1298,1255,3d51
1299,1256,3d51
129a,1257,3d50
129b,1258,3d50
129c,1259,3d50
129d,125a,3d4f
129e,125b,3d4f
129f,125c,3d4f
12a0,125c,3d4f
12a1,125d,3d4e
12a2,125e,3d4e
12a3,125f,3d4e
12a4,1260,3d4d
12a5,1261,3d4d
12a6,1262,3d4d
12a7,1263,3d4d
12a8,1264,3d4c
12a9,1265,3d4c
12aa,1266,3d4c
12ab,1267,3d4b
12ac,1268,3d4b
12ad,1269,3d4b
12ae,126a,3d4b
12af,126b,3d4a
12b0,126c,3d4a
12b1,126d,3d4a
12b2,126e,3d49
12b3,126f,3d49
12b4,1270,3d49
12b5,1271,3d49
12b6,1272,3d48
12b7,1273,3d48
12b8,1273,3d48
12b9,1274,3d47
12ba,1275,3d47
12bb,1276,3d47
12bc,1277,3d47
12bd,1278,3d46
12be,1279,3d46
12bf,127a,3d46
12c0,127b,3d45
12c1,127c,3d45
12c2,127d,3d45
12c3,127e,3d45
12c4,127f,3d44
12c5,1280,3d44
12c6,1281,3d44
12c7,1282,3d43
12c8,1283,3d43
12c9,1284,3d43
12ca,1285,3d42
12cb,1286,3d42
12cc,1287,3d42
12cd,1288,3d42
12ce,1289,3d41
12cf,1289,3d41
12d0,128a,3d41
12d1,128b,3d40
12d2,128c,3d40
12d3,128d,3d40
12d4,128e,3d40
12d5,128f,3d3f
12d6,1290,3d3f
12d7,1291,3d3f
12d8,1292,3d3e
12d9,1293,3d3e
12da,1294,3d3e
12db,1295,3d3e
12dc,1296,3d3d
12dd,1297,3d3d
12de,1298,3d3d
12df,1299,3d3c
12e0,129a,3d3c
12e1,129b,3d3c
12e2,129c,3d3c
12e3,129d,3d3b
12e4,129e,3d3b
12e5,129f,3d3b
12e6,129f,3d3a
12e7,12a0,3d3a
12e8,12a1,3d3a
12e9,12a2,3d3a
12ea,12a3,3d39
12eb,12a4,3d39
12ec,12a5,3d39
12ed,12a6,3d38
12ee,12a7,3d38
12ef,12a8,3d38
12f0,12a9,3d37
12f1,12aa,3d37
12f2,12ab,3d37
12f3,12ac,3d37
12f4,12ad,3d36
12f5,12ae,3d36
12f6,12af,3d36
12f7,12b0,3d35
12f8,12b1,3d35
12f9,12b2,3d35
12fa,12b3,3d35
12fb,12b4,3d34
12fc,12b5,3d34
12fd,12b5,3d34
12fe,12b6,3d33
12ff,12b7,3d33
1300,12b8,3d33
1301,12b9,3d32
1302,12ba,3d32
1303,12bb,3d32
1304,12bc,3d32
1305,12bd,3d31
1306,12be,3d31
1307,12bf,3d31
1308,12c0,3d30
1309,12c1,3d30
130a,12c2,3d30
130b,12c3,3d30
130c,12c4,3d2f
130d,12c5,3d2f
130e,12c6,3d2f
130f,12c7,3d2e
1310,12c8,3d2e
1311,12c9,3d2e
1312,12ca,3d2e
1313,12cb,3d2d
1314,12cb,3d2d
1315,12cc,3d2d
1316,12cd,3d2c
1317,12ce,3d2c
1318,12cf,3d2c
1319,12d0,3d2b
131a,12d1,3d2b
131b,12d2,3d2b
131c,12d3,3d2b
131d,12d4,3d2a
131e,12d5,3d2a
131f,12d6,3d2a
1320,12d7,3d29
1321,12d8,3d29
1322,12d9,3d29
1323,12da,3d29
1324,12db,3d28
1325,12dc,3d28
1326,12dd,3d28
1327,12de,3d27
1328,12df,3d27
1329,12e0,3d27
132a,12e1,3d26
132b,12e1,3d26
132c,12e2,3d26
132d,12e3,3d26
132e,12e4,3d25
132f,12e5,3d25
1330,12e6,3d25
1331,12e7,3d24
1332,12e8,3d24
1333,12e9,3d24
1334,12ea,3d23
1335,12eb,3d23
1336,12ec,3d23
1337,12ed,3d23
1338,12ee,3d22
1339,12ef,3d22
133a,12f0,3d22
133b,12f1,3d21
133c,12f2,3d21
133d,12f3,3d21
133e,12f4,3d21
133f,12f5,3d20
1340,12f6,3d20
1341,12f6,3d20
1342,12f7,3d1f
1343,12f8,3d1f
1344,12f9,3d1f
1345,12fa,3d1e
1346,12fb,3d1e
1347,12fc,3d1e
1348,12fd,3d1e
1349,12fe,3d1d
134a,12ff,3d1d
134b,1300,3d1d
134c,1301,3d1c
134d,1302,3d1c
134e,1303,3d1c
134f,1304,3d1b
1350,1305,3d1b
1351,1306,3d1b
1352,1307,3d1b
1353,1308,3d1a
1354,1309,3d1a
1355,130a,3d1a
1356,130b,3d19
1357,130b,3d19
1358,130c,3d19
1359,130d,3d19
135a,130e,3d18
135b,130f,3d18
135c,1310,3d18
135d,1311,3d17
135e,1312,3d17
135f,1313,3d17
1360,1314,3d16
1361,1315,3d16
1362,1316,3d16
1363,1317,3d16
1364,1318,3d15
1365,1319,3d15
1366,131a,3d15
1367,131b,3d14
1368,131c,3d14
1369,131d,3d14
136a,131e,3d13
136b,131f,3d13
136c,1320,3d13
136d,1320,3d13
136e,1321,3d12
136f,1322,3d12
1370,1323,3d12
1371,1324,3d11
1372,1325,3d11
1373,1326,3d11
1374,1327,3d10
1375,1328,3d10
1376,1329,3d10
1377,132a,3d10
1378,132b,3d0f
1379,132c,3d0f
137a,132d,3d0f
137b,132e,3d0e
137c,132f,3d0e
137d,1330,3d0e
137e,1331,3d0d
137f,1332,3d0d
1380,1333,3d0d
1381,1334,3d0d
1382,1335,3d0c
1383,1335,3d0c
1384,1336,3d0c
1385,1337,3d0b
1386,1338,3d0b
1387,1339,3d0b
1388,133a,3d0a
1389,133b,3d0a
138a,133c,3d0a
138b,133d,3d0a
138c,133e,3d09
138d,133f,3d09
138e,1340,3d09
138f,1341,3d08
1390,1342,3d08
1391,1343,3d08
1392,1344,3d07
1393,1345,3d07
1394,1346,3d07
1395,1347,3d07
1396,1348,3d06
1397,1349,3d06
1398,134a,3d06
1399,134a,3d05
139a,134b,3d05
139b,134c,3d05
139c,134d,3d04
139d,134e,3d04
139e,134f,3d04
139f,1350,3d04
13a0,1351,3d03
13a1,1352,3d03
13a2,1353,3d03
13a3,1354,3d02
13a4,1355,3d02
13a5,1356,3d02
13a6,1357,3d01
13a7,1358,3d01
13a8,1359,3d01
13a9,135a,3d01
13aa,135b,3d00
13ab,135c,3d00
13ac,135d,3d00
13ad,135e,3cff
13ae,135e,3cff
13af,135f,3cff
13b0,1360,3cfe
13b1,1361,3cfe
13b2,1362,3cfe
13b3,1363,3cfd
13b4,1364,3cfd
13b5,1365,3cfd
13b6,1366,3cfd
13b7,1367,3cfc
13b8,1368,3cfc
13b9,1369,3cfc
13ba,136a,3cfb
13bb,136b,3cfb
13bc,136c,3cfb
13bd,136d,3cfa
13be,136e,3cfa
13bf,136f,3cfa
13c0,1370,3cfa
13c1,1371,3cf9
13c2,1372,3cf9
13c3,1372,3cf9
13c4,1373,3cf8
13c5,1374,3cf8
13c6,1375,3cf8
13c7,1376,3cf7
13c8,1377,3cf7
13c9,1378,3cf7
13ca,1379,3cf7
13cb,137a,3cf6
13cc,137b,3cf6
13cd,137c,3cf6
13ce,137d,3cf5
13cf,137e,3cf5
13d0,137f,3cf5
13d1,1380,3cf4
13d2,1381,3cf4
13d3,1382,3cf4
13d4,1383,3cf3
13d5,1384,3cf3
13d6,1385,3cf3
13d7,1386,3cf3
13d8,1386,3cf2
13d9,1387,3cf2
13da,1388,3cf2
13db,1389,3cf1
13dc,138a,3cf1
13dd,138b,3cf1
13de,138c,3cf0
13df,138d,3cf0
13e0,138e,3cf0
13e1,138f,3cef
13e2,1390,3cef
13e3,1391,3cef
13e4,1392,3cef
13e5,1393,3cee
13e6,1394,3cee
13e7,1395,3cee
13e8,1396,3ced
13e9,1397,3ced
13ea,1398,3ced
13eb,1399,3cec
13ec,139a,3cec
13ed,139a,3cec
13ee,139b,3cec
13ef,139c,3ceb
13f0,139d,3ceb
13f1,139e,3ceb
13f2,139f,3cea
13f3,13a0,3cea
13f4,13a1,3cea
13f5,13a2,3ce9
13f6,13a3,3ce9
13f7,13a4,3ce9
13f8,13a5,3ce8
13f9,13a6,3ce8
13fa,13a7,3ce8
13fb,13a8,3ce8
13fc,13a9,3ce7
13fd,13aa,3ce7
13fe,13ab,3ce7
13ff,13ac,3ce6
1400,13ad,3ce6
1401,13ae,3ce6
1402,13ae,3ce5
1403,13af,3ce5
1404,13b0,3ce5
1405,13b1,3ce4
1406,13b2,3ce4
1407,13b3,3ce4
1408,13b4,3ce4
1409,13b5,3ce3
140a,13b6,3ce3
140b,13b7,3ce3
140c,13b8,3ce2
140d,13b9,3ce2
140e,13ba,3ce2
140f,13bb,3ce1
1410,13bc,3ce1
1411,13bd,3ce1
1412,13be,3ce0
1413,13bf,3ce0
1414,13c0,3ce0
1415,13c1,3ce0
1416,13c2,3cdf
1417,13c2,3cdf
1418,13c3,3cdf
1419,13c4,3cde
141a,13c5,3cde
141b,13c6,3cde
141c,13c7,3cdd
141d,13c8,3cdd
141e,13c9,3cdd
141f,13ca,3cdc
1420,13cb,3cdc
1421,13cc,3cdc
1422,13cd,3cdc
1423,13ce,3cdb
1424,13cf,3cdb
1425,13d0,3cdb
1426,13d1,3cda
1427,13d2,3cda
1428,13d3,3cda
1429,13d4,3cd9
142a,13d5,3cd9
142b,13d5,3cd9
142c,13d6,3cd8
142d,13d7,3cd8
142e,13d8,3cd8
142f,13d9,3cd7
1430,13da,3cd7
1431,13db,3cd7
1432,13dc,3cd7
1433,13dd,3cd6
1434,13de,3cd6
1435,13df,3cd6
1436,13e0,3cd5
1437,13e1,3cd5
1438,13e2,3cd5
1439,13e3,3cd4
143a,13e4,3cd4
143b,13e5,3cd4
143c,13e6,3cd3
143d,13e7,3cd3
143e,13e8,3cd3
143f,13e8,3cd3
1440,13e9,3cd2
1441,13ea,3cd2
1442,13eb,3cd2
1443,13ec,3cd1
1444,13ed,3cd1
1445,13ee,3cd1
1446,13ef,3cd0
1447,13f0,3cd0
1448,13f1,3cd0
1449,13f2,3ccf
144a,13f3,3ccf
144b,13f4,3ccf
144c,13f5,3cce
144d,13f6,3cce
144e,13f7,3cce
144f,13f8,3cce
1450,13f9,3ccd
1451,13fa,3ccd
1452,13fb,3ccd
1453,13fb,3ccc
1454,13fc,3ccc
1455,13fd,3ccc
1456,13fe,3ccb
1457,13ff,3ccb
1458,1400,3ccb
1459,1401,3cca
145a,1402,3cca
145b,1403,3cca
145c,1404,3cc9
145d,1405,3cc9
145e,1406,3cc9
145f,1407,3cc9
1460,1408,3cc8
1461,1409,3cc8
1462,140a,3cc8
1463,140b,3cc7
1464,140c,3cc7
1465,140d,3cc7
1466,140e,3cc6
1467,140e,3cc6
1468,140f,3cc6
1469,1410,3cc5
146a,1411,3cc5
146b,1412,3cc5
146c,1413,3cc4
146d,1414,3cc4
146e,1415,3cc4
146f,1416,3cc4
1470,1417,3cc3
1471,1418,3cc3
1472,1419,3cc3
1473,141a,3cc2
1474,141b,3cc2
1475,141c,3cc2
1476,141d,3cc1
1477,141e,3cc1
1478,141f,3cc1
1479,1420,3cc0
147a,1421,3cc0
147b,1421,3cc0
147c,1422,3cbf
147d,1423,3cbf
147e,1424,3cbf
147f,1425,3cbe
1480,1426,3cbe
1481,1427,3cbe
1482,1428,3cbe
1483,1429,3cbd
1484,142a,3cbd
1485,142b,3cbd
1486,142c,3cbc
1487,142d,3cbc
1488,142e,3cbc
1489,142f,3cbb
148a,1430,3cbb
148b,1431,3cbb
148c,1432,3cba
148d,1433,3cba
148e,1434,3cba
148f,1434,3cb9
1490,1435,3cb9
1491,1436,3cb9
1492,1437,3cb8
1493,1438,3cb8
1494,1439,3cb8
1495,143a,3cb8
1496,143b,3cb7
1497,143c,3cb7
1498,143d,3cb7
1499,143e,3cb6
149a,143f,3cb6
149b,1440,3cb6
149c,1441,3cb5
149d,1442,3cb5
149e,1443,3cb5
149f,1444,3cb4
14a0,1445,3cb4
14a1,1446,3cb4
14a2,1446,3cb3
14a3,1447,3cb3
14a4,1448,3cb3
14a5,1449,3cb2
14a6,144a,3cb2
14a7,144b,3cb2
14a8,144c,3cb2
14a9,144d,3cb1
14aa,144e,3cb1
14ab,144f,3cb1
14ac,1450,3cb0
14ad,1451,3cb0
14ae,1452,3cb0
14af,1453,3caf
14b0,1454,3caf
14b1,1455,3caf
14b2,1456,3cae
14b3,1457,3cae
14b4,1458,3cae
14b5,1458,3cad
14b6,1459,3cad
14b7,145a,3cad
14b8,145b,3cac
14b9,145c,3cac
14ba,145d,3cac
14bb,145e,3cab
14bc,145f,3cab
14bd,1460,3cab
14be,1461,3cab
14bf,1462,3caa
14c0,1463,3caa
14c1,1464,3caa
14c2,1465,3ca9
14c3,1466,3ca9
14c4,1467,3ca9
14c5,1468,3ca8
14c6,1469,3ca8
14c7,146a,3ca8
14c8,146b,3ca7
14c9,146b,3ca7
14ca,146c,3ca7
14cb,146d,3ca6
14cc,146e,3ca6
14cd,146f,3ca6
14ce,1470,3ca5
14cf,1471,3ca5
14d0,1472,3ca5
14d1,1473,3ca4
14d2,1474,3ca4
14d3,1475,3ca4
14d4,1476,3ca4
14d5,1477,3ca3
14d6,1478,3ca3
14d7,1479,3ca3
14d8,147a,3ca2
14d9,147b,3ca2
14da,147c,3ca2
14db,147d,3ca1
14dc,147d,3ca1
14dd,147e,3ca1
14de,147f,3ca0
14df,1480,3ca0
14e0,1481,3ca0
14e1,1482,3c9f
14e2,1483,3c9f
14e3,1484,3c9f
14e4,1485,3c9e
14e5,1486,3c9e
14e6,1487,3c9e
14e7,1488,3c9d
14e8,1489,3c9d
14e9,148a,3c9d
14ea,148b,3c9c
14eb,148c,3c9c
14ec,148d,3c9c
14ed,148e,3c9b
14ee,148f,3c9b
14ef,148f,3c9b
14f0,1490,3c9b
14f1,1491,3c9a
14f2,1492,3c9a
14f3,1493,3c9a
14f4,1494,3c99
14f5,1495,3c99
14f6,1496,3c99
14f7,1497,3c98
14f8,1498,3c98
14f9,1499,3c98
14fa,149a,3c97
14fb,149b,3c97
14fc,149c,3c97
14fd,149d,3c96
14fe,149e,3c96
14ff,149f,3c96
1500,14a0,3c95
1501,14a0,3c95
1502,14a1,3c95
1503,14a2,3c94
1504,14a3,3c94
1505,14a4,3c94
1506,14a5,3c93
1507,14a6,3c93
1508,14a7,3c93
1509,14a8,3c92
150a,14a9,3c92
150b,14aa,3c92
150c,14ab,3c92
150d,14ac,3c91
150e,14ad,3c91
150f,14ae,3c91
1510,14af,3c90
1511,14b0,3c90
1512,14b1,3c90
1513,14b2,3c8f
1514,14b2,3c8f
1515,14b3,3c8f
1516,14b4,3c8e
1517,14b5,3c8e
1518,14b6,3c8e
1519,14b7,3c8d
151a,14b8,3c8d
151b,14b9,3c8d
151c,14ba,3c8c
151d,14bb,3c8c
151e,14bc,3c8c
151f,14bd,3c8b
1520,14be,3c8b
1521,14bf,3c8b
1522,14c0,3c8a
1523,14c1,3c8a
1524,14c2,3c8a
1525,14c3,3c89
1526,14c4,3c89
1527,14c4,3c89
1528,14c5,3c88
1529,14c6,3c88
152a,14c7,3c88
152b,14c8,3c87
152c,14c9,3c87
152d,14ca,3c87
152e,14cb,3c86
152f,14cc,3c86
1530,14cd,3c86
1531,14ce,3c86
1532,14cf,3c85
1533,14d0,3c85
1534,14d1,3c85
1535,14d2,3c84
1536,14d3,3c84
1537,14d4,3c84
1538,14d5,3c83
1539,14d5,3c83
153a,14d6,3c83
153b,14d7,3c82
153c,14d8,3c82
153d,14d9,3c82
153e,14da,3c81
153f,14db,3c81
1540,14dc,3c81
1541,14dd,3c80
1542,14de,3c80
1543,14df,3c80
1544,14e0,3c7f
1545,14e1,3c7f
1546,14e2,3c7f
1547,14e3,3c7e
1548,14e4,3c7e
1549,14e5,3c7e
154a,14e6,3c7d
154b,14e6,3c7d
154c,14e7,3c7d
154d,14e8,3c7c
154e,14e9,3c7c
154f,14ea,3c7c
1550,14eb,3c7b
1551,14ec,3c7b
1552,14ed,3c7b
1553,14ee,3c7a
1554,14ef,3c7a
1555,14f0,3c7a
1556,14f1,3c79
1557,14f2,3c79
1558,14f3,3c79
1559,14f4,3c78
155a,14f5,3c78
155b,14f6,3c78
155c,14f7,3c77
155d,14f8,3c77
155e,14f8,3c77
155f,14f9,3c77
1560,14fa,3c76
1561,14fb,3c76
1562,14fc,3c76
1563,14fd,3c75
1564,14fe,3c75
1565,14ff,3c75
1566,1500,3c74
1567,1501,3c74
1568,1502,3c74
1569,1503,3c73
156a,1504,3c73
156b,1505,3c73
156c,1506,3c72
156d,1507,3c72
156e,1508,3c72
156f,1509,3c71
1570,1509,3c71
1571,150a,3c71
1572,150b,3c70
1573,150c,3c70
1574,150d,3c70
1575,150e,3c6f
1576,150f,3c6f
1577,1510,3c6f
1578,1511,3c6e
1579,1512,3c6e
157a,1513,3c6e
157b,1514,3c6d
157c,1515,3c6d
157d,1516,3c6d
157e,1517,3c6c
157f,1518,3c6c
1580,1519,3c6c
1581,151a,3c6b
1582,151a,3c6b
1583,151b,3c6b
1584,151c,3c6a
1585,151d,3c6a
1586,151e,3c6a
1587,151f,3c69
1588,1520,3c69
1589,1521,3c69
158a,1522,3c68
158b,1523,3c68
158c,1524,3c68
158d,1525,3c67
158e,1526,3c67
158f,1527,3c67
1590,1528,3c66
1591,1529,3c66
1592,152a,3c66
1593,152a,3c65
1594,152b,3c65
1595,152c,3c65
1596,152d,3c64
1597,152e,3c64
1598,152f,3c64
1599,1530,3c63
159a,1531,3c63
159b,1532,3c63
159c,1533,3c62
159d,1534,3c62
159e,1535,3c62
159f,1536,3c61
15a0,1537,3c61
15a1,1538,3c61
15a2,1539,3c60
15a3,153a,3c60
15a4,153b,3c60
15a5,153b,3c5f
15a6,153c,3c5f
15a7,153d,3c5f
15a8,153e,3c5e
15a9,153f,3c5e
15aa,1540,3c5e
15ab,1541,3c5d
15ac,1542,3c5d
15ad,1543,3c5d
15ae,1544,3c5c
15af,1545,3c5c
15b0,1546,3c5c
15b1,1547,3c5b
15b2,1548,3c5b
15b3,1549,3c5b
15b4,154a,3c5a
15b5,154b,3c5a
15b6,154c,3c5a
15b7,154c,3c59
15b8,154d,3c59
15b9,154e,3c59
15ba,154f,3c58
15bb,1550,3c58
15bc,1551,3c58
15bd,1552,3c57
15be,1553,3c57
15bf,1554,3c57
15c0,1555,3c56
15c1,1556,3c56
15c2,1557,3c56
15c3,1558,3c55
15c4,1559,3c55
15c5,155a,3c55
15c6,155b,3c54
15c7,155c,3c54
15c8,155c,3c54
15c9,155d,3c53
15ca,155e,3c53
15cb,155f,3c53
15cc,1560,3c52
15cd,1561,3c52
15ce,1562,3c52
15cf,1563,3c51
15d0,1564,3c51
15d1,1565,3c51
15d2,1566,3c50
15d3,1567,3c50
15d4,1568,3c50
15d5,1569,3c4f
15d6,156a,3c4f
15d7,156b,3c4f
15d8,156c,3c4e
15d9,156d,3c4e
15da,156d,3c4e
15db,156e,3c4d
15dc,156f,3c4d
15dd,1570,3c4d
15de,1571,3c4c
15df,1572,3c4c
15e0,1573,3c4c
15e1,1574,3c4b
15e2,1575,3c4b
15e3,1576,3c4b
15e4,1577,3c4a
15e5,1578,3c4a
15e6,1579,3c4a
15e7,157a,3c49
15e8,157b,3c49
15e9,157c,3c49
15ea,157d,3c48
15eb,157d,3c48
15ec,157e,3c48
15ed,157f,3c47
15ee,1580,3c47
15ef,1581,3c47
15f0,1582,3c46
15f1,1583,3c46
15f2,1584,3c46
15f3,1585,3c45
15f4,1586,3c45
15f5,1587,3c45
15f6,1588,3c44
15f7,1589,3c44
15f8,158a,3c44
15f9,158b,3c43
15fa,158c,3c43
15fb,158d,3c43
15fc,158d,3c42
15fd,158e,3c42
15fe,158f,3c42
15ff,1590,3c41
1600,1591,3c41
1601,1592,3c41
1602,1593,3c40
1603,1594,3c40
1604,1595,3c40
1605,1596,3c3f
1606,1597,3c3f
1607,1598,3c3f
1608,1599,3c3e
1609,159a,3c3e
160a,159b,3c3e
160b,159c,3c3d
160c,159d,3c3d
160d,159d,3c3d
160e,159e,3c3c
160f,159f,3c3c
1610,15a0,3c3c
1611,15a1,3c3b
1612,15a2,3c3b
1613,15a3,3c3b
1614,15a4,3c3a
1615,15a5,3c3a
1616,15a6,3c3a
1617,15a7,3c39
1618,15a8,3c39
1619,15a9,3c39
161a,15aa,3c38
161b,15ab,3c38
161c,15ac,3c38
161d,15ad,3c37
161e,15ad,3c37
161f,15ae,3c37
1620,15af,3c36
1621,15b0,3c36
1622,15b1,3c36
1623,15b2,3c35
1624,15b3,3c35
1625,15b4,3c34
1626,15b5,3c34
1627,15b6,3c34
1628,15b7,3c33
1629,15b8,3c33
162a,15b9,3c33
162b,15ba,3c32
162c,15bb,3c32
162d,15bc,3c32
162e,15bd,3c31
162f,15bd,3c31
1630,15be,3c31
1631,15bf,3c30
1632,15c0,3c30
1633,15c1,3c30
1634,15c2,3c2f
1635,15c3,3c2f
1636,15c4,3c2f
1637,15c5,3c2e
1638,15c6,3c2e
1639,15c7,3c2e
163a,15c8,3c2d
163b,15c9,3c2d
163c,15ca,3c2d
163d,15cb,3c2c
163e,15cc,3c2c
163f,15cd,3c2c
1640,15cd,3c2b
1641,15ce,3c2b
1642,15cf,3c2b
1643,15d0,3c2a
1644,15d1,3c2a
1645,15d2,3c2a
1646,15d3,3c29
1647,15d4,3c29
1648,15d5,3c29
1649,15d6,3c28
164a,15d7,3c28
164b,15d8,3c28
164c,15d9,3c27
164d,15da,3c27
164e,15db,3c27
164f,15dc,3c26
1650,15dc,3c26
1651,15dd,3c26
1652,15de,3c25
1653,15df,3c25
1654,15e0,3c24
1655,15e1,3c24
1656,15e2,3c24
1657,15e3,3c23
1658,15e4,3c23
1659,15e5,3c23
165a,15e6,3c22
165b,15e7,3c22
165c,15e8,3c22
165d,15e9,3c21
165e,15ea,3c21
165f,15eb,3c21
1660,15ec,3c20
1661,15ec,3c20
1662,15ed,3c20
1663,15ee,3c1f
1664,15ef,3c1f
1665,15f0,3c1f
1666,15f1,3c1e
1667,15f2,3c1e
1668,15f3,3c1e
1669,15f4,3c1d
166a,15f5,3c1d
166b,15f6,3c1d
166c,15f7,3c1c
166d,15f8,3c1c
166e,15f9,3c1c
166f,15fa,3c1b
1670,15fb,3c1b
1671,15fb,3c1b
1672,15fc,3c1a
1673,15fd,3c1a
1674,15fe,3c1a
1675,15ff,3c19
1676,1600,3c19
1677,1601,3c18
1678,1602,3c18
1679,1603,3c18
167a,1604,3c17
167b,1605,3c17
167c,1606,3c17
167d,1607,3c16
167e,1608,3c16
167f,1609,3c16
1680,160a,3c15
1681,160b,3c15
1682,160b,3c15
1683,160c,3c14
1684,160d,3c14
1685,160e,3c14
1686,160f,3c13
1687,1610,3c13
1688,1611,3c13
1689,1612,3c12
168a,1613,3c12
168b,1614,3c12
168c,1615,3c11
168d,1616,3c11
168e,1617,3c11
168f,1618,3c10
1690,1619,3c10
1691,161a,3c10
1692,161a,3c0f
1693,161b,3c0f
1694,161c,3c0e
1695,161d,3c0e
1696,161e,3c0e
1697,161f,3c0d
1698,1620,3c0d
1699,1621,3c0d
169a,1622,3c0c
169b,1623,3c0c
169c,1624,3c0c
169d,1625,3c0b
169e,1626,3c0b
169f,1627,3c0b
16a0,1628,3c0a
16a1,1629,3c0a
16a2,1629,3c0a
16a3,162a,3c09
16a4,162b,3c09
16a5,162c,3c09
16a6,162d,3c08
16a7,162e,3c08
16a8,162f,3c08
16a9,1630,3c07
16aa,1631,3c07
16ab,1632,3c07
16ac,1633,3c06
16ad,1634,3c06
16ae,1635,3c05
16af,1636,3c05
16b0,1637,3c05
16b1,1638,3c04
16b2,1638,3c04
16b3,1639,3c04
16b4,163a,3c03
16b5,163b,3c03
16b6,163c,3c03
16b7,163d,3c02
16b8,163e,3c02
16b9,163f,3c02
16ba,1640,3c01
16bb,1641,3c01
16bc,1642,3c01
16bd,1643,3c00
16be,1644,3c00
16bf,1645,3c00
16c0,1646,3bff
16c1,1647,3bff
16c2,1647,3bff
16c3,1648,3bfe
16c4,1649,3bfe
16c5,164a,3bfd
16c6,164b,3bfd
16c7,164c,3bfd
16c8,164d,3bfc
16c9,164e,3bfc
16ca,164f,3bfc
16cb,1650,3bfb
16cc,1651,3bfb
16cd,1652,3bfb
16ce,1653,3bfa
16cf,1654,3bfa
16d0,1655,3bfa
16d1,1656,3bf9
