angle,sin,cos
2d2a80,2d2a44,fffc040
2d5190,2d5153,fffbfd1
2d78a0,2d7862,fffbf63
2d9fb0,2d9f72,fffbef3
2dc6c0,2dc681,fffbe84
2dedd0,2ded90,fffbe14
2e14e0,2e14a0,fffbda4
2e3bf0,2e3baf,fffbd33
2e6300,2e62bf,fffbcc2
2e8a10,2e89ce,fffbc50
2eb120,2eb0dd,fffbbdf
2ed830,2ed7ed,fffbb6c
2eff40,2efefc,fffbafa
2f2650,2f260b,fffba87
2f4d60,2f4d1b,fffba14
2f7470,2f742a,fffb9a0
2f9b80,2f9b39,fffb92c
2fc290,2fc249,fffb8b8
2fe9a0,2fe958,fffb843
3010b0,301067,fffb7ce
3037c0,303777,fffb758
305ed0,305e86,fffb6e2
3085e0,308595,fffb66c
30acf0,30aca4,fffb5f5
30d400,30d3b4,fffb57e
30fb10,30fac3,fffb507
312220,3121d2,fffb48f
314930,3148e2,fffb417
317040,316ff1,fffb39e
319750,319700,fffb326
31be60,31be0f,fffb2ac
31e570,31e51f,fffb233
320c80,320c2e,fffb1b9
323390,32333d,fffb13e
325aa0,325a4c,fffb0c4
3281b0,32815c,fffb048
32a8c0,32a86b,fffafcd
32cfd0,32cf7a,fffaf51
32f6e0,32f689,fffaed5
331df0,331d99,fffae58
334500,3344a8,fffaddb
336c10,336bb7,fffad5e
339320,3392c6,ffface0
33ba30,33b9d5,fffac62
33e140,33e0e5,fffabe4
340850,3407f4,fffab65
342f60,342f03,fffaae6
345670,345612,fffaa66
347d80,347d21,fffa9e6
34a490,34a431,fffa966
34cba0,34cb40,fffa8e5
34f2b0,34f24f,fffa864
3519c0,35195e,fffa7e2
3540d0,35406d,fffa761
3567e0,35677c,fffa6de
358ef0,358e8b,fffa65c
35b600,35b59b,fffa5d9
35dd10,35dcaa,fffa556
360420,3603b9,fffa4d2
362b30,362ac8,fffa44e
365240,3651d7,fffa3c9
367950,3678e6,fffa345
36a060,369ff5,fffa2bf
36c770,36c704,fffa23a
36ee80,36ee14,fffa1b4
371590,371523,fffa12e
373ca0,373c32,fffa0a7
3763b0,376341,fffa020
378ac0,378a50,fff9f99
37b1d0,37b15f,fff9f11
37d8e0,37d86e,fff9e89
37fff0,37ff7d,fff9e00
382700,38268c,fff9d77
384e10,384d9b,fff9cee
387520,3874aa,fff9c64
389c30,389bb9,fff9bda
38c340,38c2c8,fff9b50
38ea50,38e9d7,fff9ac5
391160,3910e7,fff9a3a
393870,3937f6,fff99ae
395f80,395f05,fff9923
398690,398614,fff9896
39ada0,39ad23,fff980a
39d4b0,39d432,fff977d
39fbc0,39fb41,fff96ef
3a22d0,3a2250,fff9662
3a49e0,3a495f,fff95d3
3a70f0,3a706e,fff9545
3a9800,3a977d,fff94b6
3abf10,3abe8c,fff9427
3ae620,3ae59a,fff9397
3b0d30,3b0ca9,fff9307
